"","DeltaYear","DeltaTotal","DeltaGas","DeltaLiquids","DeltaSolids","DeltaCement","DeltaFlare","V8"
"1",1752,0,0,0,0,0,0,NA
"2",1753,0,0,0,0,0,0,NA
"3",1754,0,0,0,0,0,0,NA
"4",1755,0,0,0,0,0,0,NA
"5",1756,0,0,0,0,0,0,NA
"6",1757,0,0,0,0,0,0,NA
"7",1758,0,0,0,0,0,0,NA
"8",1759,0,0,0,0,0,0,NA
"9",1760,0,0,0,0,0,0,NA
"10",1761,0,0,0,0,0,0,NA
"11",1762,0,0,0,0,0,0,NA
"12",1763,0,0,0,0,0,0,NA
"13",1764,0,0,0,0,0,0,NA
"14",1765,0,0,0,0,0,0,NA
"15",1766,0,0,0,0,0,0,NA
"16",1767,0,0,0,0,0,0,NA
"17",1768,0,0,0,0,0,0,NA
"18",1769,0,0,0,0,0,0,NA
"19",1770,0,0,0,0,0,0,NA
"20",1771,1,0,0,1,0,0,NA
"21",1772,0,0,0,0,0,0,NA
"22",1773,0,0,0,0,0,0,NA
"23",1774,0,0,0,0,0,0,NA
"24",1775,0,0,0,0,0,0,NA
"25",1776,0,0,0,0,0,0,NA
"26",1777,0,0,0,0,0,0,NA
"27",1778,0,0,0,0,0,0,NA
"28",1779,0,0,0,0,0,0,NA
"29",1780,0,0,0,0,0,0,NA
"30",1781,1,0,0,1,0,0,NA
"31",1782,0,0,0,0,0,0,NA
"32",1783,0,0,0,0,0,0,NA
"33",1784,0,0,0,0,0,0,NA
"34",1785,0,0,0,0,0,0,NA
"35",1786,0,0,0,0,0,0,NA
"36",1787,0,0,0,0,0,0,NA
"37",1788,0,0,0,0,0,0,NA
"38",1789,0,0,0,0,0,0,NA
"39",1790,0,0,0,0,0,0,NA
"40",1791,1,0,0,1,0,0,NA
"41",1792,0,0,0,0,0,0,NA
"42",1793,0,0,0,0,0,0,NA
"43",1794,0,0,0,0,0,0,NA
"44",1795,0,0,0,0,0,0,NA
"45",1796,0,0,0,0,0,0,NA
"46",1797,1,0,0,1,0,0,NA
"47",1798,0,0,0,0,0,0,NA
"48",1799,0,0,0,0,0,0,NA
"49",1800,1,0,0,1,0,0,NA
"50",1801,0,0,0,0,0,0,NA
"51",1802,2,0,0,2,0,0,NA
"52",1803,-1,0,0,-1,0,0,NA
"53",1804,0,0,0,0,0,0,NA
"54",1805,0,0,0,0,0,0,NA
"55",1806,1,0,0,1,0,0,NA
"56",1807,0,0,0,0,0,0,NA
"57",1808,0,0,0,0,0,0,NA
"58",1809,0,0,0,0,0,0,NA
"59",1810,0,0,0,0,0,0,NA
