"","V1","V2","V3","V4","V5","V6","V7"
"1",1752,0,NA,NA,0,NA,NA
"2",1753,0,NA,NA,0,NA,NA
"3",1754,0,NA,NA,0,NA,NA
"4",1755,0,NA,NA,0,NA,NA
"5",1756,0,NA,NA,0,NA,NA
"6",1757,0,NA,NA,0,NA,NA
"7",1758,0,NA,NA,0,NA,NA
"8",1759,0,NA,NA,0,NA,NA
"9",1760,0,NA,NA,0,NA,NA
"10",1761,0,NA,NA,0,NA,NA
"11",1762,0,NA,NA,0,NA,NA
"12",1763,0,NA,NA,0,NA,NA
"13",1764,0,NA,NA,0,NA,NA
"14",1765,0,NA,NA,0,NA,NA
"15",1766,0,NA,NA,0,NA,NA
"16",1767,0,NA,NA,0,NA,NA
"17",1768,0,NA,NA,0,NA,NA
"18",1769,0,NA,NA,0,NA,NA
"19",1770,0,NA,NA,0,NA,NA
"20",1771,0.333333333333333,NA,NA,0.333333333333333,NA,NA
"21",1772,0,NA,NA,0,NA,NA
"22",1773,0,NA,NA,0,NA,NA
"23",1774,0,NA,NA,0,NA,NA
"24",1775,0,NA,NA,0,NA,NA
"25",1776,0,NA,NA,0,NA,NA
"26",1777,0,NA,NA,0,NA,NA
"27",1778,0,NA,NA,0,NA,NA
"28",1779,0,NA,NA,0,NA,NA
"29",1780,0,NA,NA,0,NA,NA
"30",1781,0.25,NA,NA,0.25,NA,NA
"31",1782,0,NA,NA,0,NA,NA
"32",1783,0,NA,NA,0,NA,NA
"33",1784,0,NA,NA,0,NA,NA
"34",1785,0,NA,NA,0,NA,NA
"35",1786,0,NA,NA,0,NA,NA
"36",1787,0,NA,NA,0,NA,NA
"37",1788,0,NA,NA,0,NA,NA
"38",1789,0,NA,NA,0,NA,NA
"39",1790,0,NA,NA,0,NA,NA
"40",1791,0.2,NA,NA,0.2,NA,NA
"41",1792,0,NA,NA,0,NA,NA
"42",1793,0,NA,NA,0,NA,NA
"43",1794,0,NA,NA,0,NA,NA
"44",1795,0,NA,NA,0,NA,NA
"45",1796,0,NA,NA,0,NA,NA
"46",1797,0.166666666666667,NA,NA,0.166666666666667,NA,NA
"47",1798,0,NA,NA,0,NA,NA
"48",1799,0,NA,NA,0,NA,NA
"49",1800,0.142857142857143,NA,NA,0.142857142857143,NA,NA
"50",1801,0,NA,NA,0,NA,NA
"51",1802,0.25,NA,NA,0.25,NA,NA
"52",1803,-0.1,NA,NA,-0.1,NA,NA
"53",1804,0,NA,NA,0,NA,NA
"54",1805,0,NA,NA,0,NA,NA
"55",1806,0.111111111111111,NA,NA,0.111111111111111,NA,NA
"56",1807,0,NA,NA,0,NA,NA
"57",1808,0,NA,NA,0,NA,NA
"58",1809,0,NA,NA,0,NA,NA
"59",1810,0,NA,NA,0,NA,NA
"60",1811,0.1,NA,NA,0.1,NA,NA
"61",1812,0,NA,NA,0,NA,NA
"62",1813,0,NA,NA,0,NA,NA
"63",1814,0,NA,NA,0,NA,NA
